id,text,label
1,Arsenal,Arsenal
2,Aston Villa,Aston Villa
3,Bournemouth,Bournemouth
4,Brentford,Brentford
5,Brighton & Hove Albion,Brighton & Hove Albion
6,Burnley,Burnley
7,Chelsea,Chelsea
8,Crystal Palace,Crystal Palace
9,Everton,Everton
10,Fulham,Fulham
11,Leeds United,Leeds United
12,Leicester City,Leicester City
13,Liverpool,Liverpool
14,Luton Town,Luton Town
15,Manchester City,Manchester City
16,Manchester United,Manchester United
17,Newcastle United,Newcastle United
18,Nottingham Forest,Nottingham Forest
19,Southampton,Southampton
20,Tottenham Hotspur,Tottenham Hotspur
21,Man đỏ,Manchester United
22,Man xanh,Manchester City
